Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Scene Description
19_9_3_15_8_31;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_9_9;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_12_26;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_13_43;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_22_1;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_23_21;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_29_52;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_31_28;[1300.0];[0];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_32_42;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_36_46;[1300.0];[0];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_38_0;[1300.0];[1];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_42_51;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_43_23;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_43_56;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_44_52;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_45_24;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_49_14;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_15_52_27;[1300.0];[1];[5.0];[10001.0];100000;No Notes. Change in text file if necessary.
19_9_5_11_8_49;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_10_17;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_16_1;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_17_27;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_34_10;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_35_32;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_43_3;[1300.0];[1];[5.0];[10001.0];1000;No Notes. Change in text file if necessary.
19_9_5_11_45_45;[1300.0];[1];[5.0];[10001.0];120000;High Seastate, 
19_9_5_12_2_10;[1300.0];[1];[5.0];[10001.0];120000;No Notes. Change in text file if necessary.
19_9_5_12_4_14;[1300.0];[1];[5.0];[10001.0];120000;No Notes. Change in text file if necessary.
19_9_5_12_5_38;[1300.0];[1];[5.0];[10001.0];120000;No Notes. Change in text file if necessary.
