Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Experiment;Notes
19_11_26_10_41_48;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_43_30;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_44_55;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_46_18;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_49_29;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_10_50_15;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_5_40;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_7_19;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_8_15;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_9_47;[1300.0, 8500.0];[1, 4];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_11_6;[8500.0];[4];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_14_26;[8500.0];[4];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_16_47;[8500.0];[4];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_22_36;[8500.0];[4];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_24_52;[1365.0];[0];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_26_44;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_29_3;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_47_45;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_49_48;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_50_24;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_51_2;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_52_11;[8500.0, 1365.0];[5, 3];[5.0, 5.0];[1001.0, 1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_53_38;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_55_16;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_56_4;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_56_39;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_57_37;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_58_29;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_13_59_11;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_14_0_38;[1365.0];[3];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_14_3_12;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_14_4_5;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_14_6_37;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_14_7_28;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_14_19_45;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_27_9_4_7;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
